"Obs" "DA.3.1" "DA.3.2" "DA.3.3" "DA.3.4" "DA.4.1" "DA.4.2" "DA.4.3" "DA.5.1" "DA.5.2" "DA.5.3" "DA.5.4" "DA.5.5" "DA.5.6" "DA.5.7" "DA.9.1" "DA.9.2"
1 40,2 583 167 5654 40,5 402 179,13 37473 25154 24030 7835 7777 3643 24489 1,925107 2,188417
2 39,8 427 176,2 5720 40 440 181,29 37240 26757 25620 7180 7233 3299 24508 1,954178 2,230238
3 38,5 334 198 5925 39 477 184,82 39072 27359 26209 7702 7991 3473 24648 1,949858 2,264625
4 38 439 190,5 6469 38,1 493 186,45 39817 28476 27167 7839 7720 3478 24688 2,036203 2,487287
5 37,1 703 180,1 6019 37,6 492 192,49 37605 25632 24620 7886 7860 3146 24689 1,948491 2,219652
6 39,2 480 184,9 6019 39 493 189,53 39600 27036 25972 8193 7775 3391 24730 1,984153 2,306678
7 39,8 325 202,9 6113 40,3 453 188,71 38715 27263 26285 7637 7679 3893 24848 1,973184 2,338459
8 41,6 358 195,8 6724 41,7 405 191,78 40469 28771 27659 8169 7497 3989 24798 2,060194 2,537706
9 41,8 561 185,4 6451 42,3 398 198,15 39064 25779 24780 8273 8006 4344 24779 1,967409 2,264699
10 43 373 195 6422 42,7 380 199,71 40532 27704 26519 8359 7761 3899 24820 2,043003 2,302611
11 42,6 282 214,5 6412 43,1 383 200,26 39328 27983 26803 7994 8138 4219 24792 1,97377 2,338659
12 43,4 346 204,9 6940 43,5 391 200,99 40415 29497 28200 8070 7672 4367 24755 2,082525 2,554258
13 43,9 546 183 6537 44,3 392 197,27 38816 26684 25476 8119 7715 4626 24646 1,985131 2,223308
14 45,7 372 199,9 6403 45,5 377 203,8 39078 28148 26846 7806 7768 3940 24684 2,036911 2,298195
15 44,9 272 223,5 6518 45,8 363 209,11 39974 28545 27302 8169 8244 4253 24683 2,026819 2,397797
16 46,4 305 215,4 7012 46,5 348 211,46 40738 30262 28601 8100 8178 4537 24700 2,094974 2,57742
17 46,7 463 201,6 6552 47,1 337 216,41 38796 27412 26025 7910 7983 4855 24758 2,019252 2,246692
18 48,6 326 214,4 6911 48,3 328 217,04 40759 29659 27998 8329 8606 4302 24180 2,059063 2,315452
19 48,1 243 232,8 7074 49,1 317 219,57 41358 29798 28258 8232 8646 4701 24343 2,037029 2,379517
20 49,6 266 226,9 7975 49,8 307 223,72 43279 31678 29828 8626 8773 4943 24372 2,111432 2,582892
21 51,4 397 213,4 7480 51,7 293 226,5 41530 29096 27346 8792 9269 5600 24509 2,052487 2,280925
22 53,2 298 226,7 7466 52,9 296 229,42 42783 30970 29174 8793 9598 4971 24509 2,084255 2,317825
23 52,9 210 243,4 7745 54 269 231,39 43142 30924 29375 8596 9704 5388 24606 2,066731 2,384403
24 54,9 214 239,2 8386 55,1 245 235,27 44843 32129 30603 8816 9469 5563 24742 2,144913 2,634827
25 56,2 303 224,3 8211 56,7 251 237,35 43011 29731 28168 9103 9650 6196 24822 2,065464 2,294196
26 58,1 237 235,5 8325 57,8 231 238,46 44939 31653 29884 9097 9569 4966 24744 2,107324 2,333854
27 57,6 236 250 8744 58,7 260 238,78 44671 31705 30165 8886 9490 5145 24891 2,096297 2,415052
28 59,2 230 240,3 8832 59,3 258 234,21 45242 32759 31260 9038 9061 5273 24828 2,17073 2,694668
29 58,4 340 220,3 8467 59 285 234,55 42460 30169 28629 8845 9496 5498 24991 2,076022 2,334853
30 59 294 232,6 8485 58,7 288 236,85 45656 32513 30614 9440 9677 4530 25033 2,113337 2,370646
31 58,4 260 248,3 8698 59,2 287 236,13 45235 32302 30717 9114 9872 5015 25132 2,093246 2,456038
32 60,7 290 248,2 8696 60,7 325 240,21 46165 33706 32054 9307 9517 5214 25103 2,172449 2,700398
33 61,5 411 226,9 7704 61,6 347 243,04 44080 31135 29364 9435 9394 5330 25079 2,059427 2,332512
34 63,1 365 243 8497 62,4 357 248,25 47332 33889 31783 9745 10014 4819 25157 2,111958 2,345808
35 62,5 332 267,1 8984 62,9 361 253,78 46998 34491 32532 9482 10595 5019 25230 2,099629 2,470093
36 64,2 324 267,2 9639 63,9 359 257,4 49346 35323 33392 9816 10169 5546 25301 2,179383 2,688858
37 64,9 405 244 9855 65,1 351 262,96 47499 32686 30599 9906 10675 5746 25223 2,115056 2,368308
38 66,1 368 262,3 9738 65,4 360 266,65 49639 34772 32528 10154 11131 4574 25299 2,122324 2,374962
39 65,8 329 287,1 10211 66,2 357 273,38 49336 35251 33200 9588 11495 4820 25474 2,106143 2,43776
40 65,9 346 286,2 10785 65,8 380 276,6 51481 36276 34258 10117 11077 5129 25505 2,176959 2,703925
41 63,8 455 257,4 10866 64,2 399 276,48 48751 33391 31111 9877 10519 5527 25516 2,117387 2,413736
42 64,5 490 280,1 10161 63,8 483 283,72 50860 35138 32946 10580 11257 4243 25535 2,148709 2,43054
43 63,4 479 298,2 10442 63,6 520 285,16 50928 35857 33846 10260 11768 4472 25537 2,119681 2,464304
44 62,1 479 298,3 11220 62,2 519 290,28 52316 36721 34845 10734 11207 4557 25646 2,203825 2,731671
45 63,1 601 274,5 11115 63,4 533 291,31 49973 34253 32013 10765 11542 5940 25592 2,120428 2,454955
46 64,7 545 286,2 10378 64 537 289,19 51512 36401 34055 10548 11485 4464 25636 2,160508 2,504786
47 64,1 494 304,8 10876 64,2 529 294,17 51946 36138 34244 10815 12148 5012 25763 2,153909 2,526522
48 65,6 502 302,5 11411 65,7 539 295,26 53605 36825 35084 11489 10682 5031 25630 2,224736 2,742796
49 67,8 591 286 11866 68,3 527 298,77 51742 34263 32227 11218 11737 6074 25429 2,162051 2,461118
50 70,7 540 296,9 11713 69,9 537 301,79 53156 36514 34343 11310 12331 4280 25495 2,190998 2,515819
51 70,7 536 315,2 11893 70,7 571 305,45 53621 37487 35301 10955 12399 5012 25623 2,157669 2,561959
52 73,2 545 318,9 12137 73,4 583 311,62 54148 38898 36546 10380 12549 5359 25509 2,24049 2,76994
53 74,4 599 304,5 12809 74,9 535 315,83 53036 36731 33902 11959 13279 5891 25364 2,19331 2,519677
54 76,7 501 312,1 11782 75,9 499 317,8 54816 36947 34838 12115 12984 4557 25383 2,209038 2,477937
55 77,1 476 328,7 12359 77,1 501 319,37 56189 38020 35874 12528 13495 4966 25471 2,190209 2,575292
56 77 483 328,8 13640 77,3 520 320,64 58255 39573 37315 12752 12993 5276 25447 2,277953 2,790166
57 74,8 564 309,4 12375 75,4 501 321,52 53563 35884 33742 12463 13557 6429 25357 2,213854 2,533167
58 76,9 494 314,5 11887 76 495 319,57 56089 37713 35401 13806 13644 4567 25375 2,197661 2,466736
59 76,2 488 328,4 12698 76,1 509 319,53 56862 38299 36147 13910 13734 4775 25457 2,171371 2,546417
60 72,9 512 324,2 13333 73,2 553 316,26 59310 40216 38067 14033 13534 4921 25425 2,261244 2,817098
